,track_name,textual,numerical
227,Solo,Frank Ocean Alternative Solo,4.848502819999999
228,Say It Ain't So,Weezer Alternative Say It Ain't So,3.9080840000000006
229,Hero,Skillet Alternative Hero,4.87541
230,Love It If We Made It,The 1975 Alternative Love It If We Made It,3.8641219999999996
231,My Own Worst Enemy,Lit Alternative My Own Worst Enemy,4.6089899999999995
232,PRBLMS,6LACK Alternative PRBLMS,3.4327014499999993
233,Hungry Hippo,Tierra Whack Alternative Hungry Hippo,5.42084
234,White Ferrari,Frank Ocean Alternative White Ferrari,3.4979999999999998
235,Down with the Sickness,Disturbed Alternative Down with the Sickness,5.65630289
236,Duality,Slipknot Alternative Duality,5.325531
237,Feel Invincible,Skillet Alternative Feel Invincible,5.29215
238,Daddy Issues,The Neighbourhood Alternative Daddy Issues,3.6857
239,Rx (Medicate),Theory of a Deadman Alternative Rx (Medicate),3.8347999999999995
240,Savior,Rise Against Alternative Savior,5.4974067
241,Scar Tissue,Red Hot Chili Peppers Alternative Scar Tissue,4.13114
242,Toxicity,System Of A Down Alternative Toxicity,4.296264
243,Blurry,Puddle Of Mudd Alternative Blurry,5.116499999999999
244,Heart-Shaped Box,Nirvana Alternative Heart-Shaped Box,3.7895999999999996
245,Baby I'm Yours - feat. Irfrane,Breakbot Alternative Baby I'm Yours - feat. Irfrane,6.023033999999999
246,Even Flow,Pearl Jam Alternative Even Flow,5.094884539999999
247,Otherside,Red Hot Chili Peppers Alternative Otherside,4.300362000000001
248,Santa Monica,Everclear Alternative Santa Monica,4.244
249,The Anthem,Good Charlotte Alternative The Anthem,5.01166
250,It's Not Living (If It's Not With You),The 1975 Alternative It's Not Living (If It's Not With You),4.2883657
251,Bouncin (feat. Offset),Kiana Ledé Alternative Bouncin (feat. Offset),4.6510297000000005
252,Girls Need Love,Summer Walker Alternative Girls Need Love,5.3363
253,Bulls On Parade,Rage Against The Machine Alternative Bulls On Parade,4.878500000000001
254,What I've Done,Linkin Park Alternative What I've Done,4.27650164
255,The Diary of Jane - Single Version,Breaking Benjamin Alternative The Diary of Jane - Single Version,5.1222586
256,Dark Red,Steve Lacy Alternative Dark Red,4.88100796
257,Would?,Alice In Chains Alternative Would?,3.709156
258,Interstate Love Song,Stone Temple Pilots Alternative Interstate Love Song,4.2347719999999995
259,You And Me,Lifehouse Alternative You And Me,3.8366
260,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins Alternative Bullet With Butterfly Wings - Remastered 2012,5.5242559
261,Safe And Sound,Capital Cities Alternative Safe And Sound,4.600014000000001
262,Animal I Have Become,Three Days Grace Alternative Animal I Have Become,4.163584
263,I Will Not Bow,Breaking Benjamin Alternative I Will Not Bow,4.4459998
264,Inside Out,Eve 6 Alternative Inside Out,4.5754
265,Easy,Mac Ayres Alternative Easy,3.7465699999999997
266,Alive,Pearl Jam Alternative Alive,5.244181
267,Açaí Bowl,Dominic Fike Alternative Açaí Bowl,3.7299670000000003
268,Juicy,Doja Cat Alternative Juicy,4.3697
269,Kids,MGMT Alternative Kids,4.31656
270,Dog Days Are Over,Florence + The Machine Alternative Dog Days Are Over,3.8780900000000007
271,Like a Stone,Audioslave Alternative Like a Stone,4.9872700000000005
272,Here Without You,3 Doors Down Alternative Here Without You,4.8165
273,WANTED U,Joji Alternative WANTED U,3.2755
274,On Melancholy Hill,Gorillaz Alternative On Melancholy Hill,4.7300151
275,What You Know,Two Door Cinema Club Alternative What You Know,5.208829
276,Shea Butter Baby (with J. Cole),Ari Lennox Alternative Shea Butter Baby (with J. Cole),3.94951
277,Fade Into You,Mazzy Star Alternative Fade Into You,3.3578790000000005
278,Pink Matter,Frank Ocean Alternative Pink Matter,4.624628
279,Legend,The Score Alternative Legend,3.7987179999999996
280,C U Girl,Steve Lacy Alternative C U Girl,4.7573
281,Falling,Trevor Daniel Alternative Falling,4.6031
282,Lithium,Nirvana Alternative Lithium,3.79303
283,Shine,Collective Soul Alternative Shine,3.8787000000000003
284,Walking On A Dream,Empire of the Sun Alternative Walking On A Dream,5.790707520000001
285,Wrong Side of Heaven,Five Finger Death Punch Alternative Wrong Side of Heaven,5.316520000000001
286,Lips Of An Angel,Hinder Alternative Lips Of An Angel,3.864
287,Renegades,X Ambassadors Alternative Renegades,4.2376000000000005
288,Smooth Criminal,Alien Ant Farm Alternative Smooth Criminal,5.83894
289,She Hates Me,Puddle Of Mudd Alternative She Hates Me,4.542649999999999
290,Sweet Disposition,The Temper Trap Alternative Sweet Disposition,3.8389999999999995
291,Rooster,Alice In Chains Alternative Rooster,4.224719
292,Learn to Fly,Foo Fighters Alternative Learn to Fly,4.478839
293,While We're Young,Jhene Aiko Alternative While We're Young,4.5670021
294,Before I Forget,Slipknot Alternative Before I Forget,5.98970544
295,All That,Oliver Tree Alternative All That,4.2346
296,Superposition,Young the Giant Alternative Superposition,4.19549
297,Nightmare,Avenged Sevenfold Alternative Nightmare,4.1801178000000005
298,Glycerine,Bush Alternative Glycerine,2.642146
299,R.I.P. (feat. Trippie Redd),Joji Alternative R.I.P. (feat. Trippie Redd),5.2495
300,I Hate Everything About You,Three Days Grace Alternative I Hate Everything About You,4.88971
301,EX,Kiana Ledé Alternative EX,5.098000000000001
302,Jekyll and Hyde,Five Finger Death Punch Alternative Jekyll and Hyde,4.38122297
303,Picture (feat. Sheryl Crow),Kid Rock Alternative Picture (feat. Sheryl Crow),3.5631064199999996
304,Amber,311 Alternative Amber,5.425770000000001
305,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)","Kali Uchis Alternative After The Storm (feat. Tyler, The Creator & Bootsy Collins)",5.53401
306,Session 32,Summer Walker Alternative Session 32,3.56311
307,TOOTIMETOOTIMETOOTIME,The 1975 Alternative TOOTIMETOOTIMETOOTIME,4.3207
308,One Headlight,The Wallflowers Alternative One Headlight,4.031929999999999
309,Flagpole Sitta,Harvey Danger Alternative Flagpole Sitta,3.875156
310,Addicted,Saving Abel Alternative Addicted,3.9738209999999996
311,Palmolive (feat. Pusha T & Killer Mike),Freddie Gibbs Alternative Palmolive (feat. Pusha T & Killer Mike),5.05263
312,Slide,The Goo Goo Dolls Alternative Slide,3.7626299999999997
313,One Step Closer,Linkin Park Alternative One Step Closer,4.046201320000001
314,Cooks,Still Woozy Alternative Cooks,3.9062999999999994
315,B.Y.O.B.,System Of A Down Alternative B.Y.O.B.,5.71562
316,Stricken,Disturbed Alternative Stricken,4.4964851
317,Buddy Holly,Weezer Alternative Buddy Holly,4.410335000000001
318,Demons,Joji Alternative Demons,4.5523
319,Lucy,Still Woozy Alternative Lucy,5.156422
320,Nikes,Frank Ocean Alternative Nikes,4.0006390000000005
321,Lil Bebe (feat. Lil Baby) - Remix,DaniLeigh Alternative Lil Bebe (feat. Lil Baby) - Remix,4.6437
322,Cough Syrup,Young the Giant Alternative Cough Syrup,4.63900624
323,Best of You,Foo Fighters Alternative Best of You,5.1444632
324,Bitter Sweet Symphony,The Verve Alternative Bitter Sweet Symphony,4.9504
325,Cold War,Cautious Clay Alternative Cold War,4.7586
326,Cool Again,Shoffy Alternative Cool Again,4.436632800000001
327,Mile High (feat. Travis Scott & Metro Boomin),James Blake Alternative Mile High (feat. Travis Scott & Metro Boomin),4.7730622
328,Hanging By A Moment,Lifehouse Alternative Hanging By A Moment,3.709783
329,Fat Lip,Sum 41 Alternative Fat Lip,4.139018
330,Bleed It Out,Linkin Park Alternative Bleed It Out,6.0568
331,Miss Murder,AFI Alternative Miss Murder,4.154693
332,The Devil In I,Slipknot Alternative The Devil In I,4.982591
333,Second Chance,Shinedown Alternative Second Chance,4.2963700000000005
334,Cold,Crossfade Alternative Cold,5.1278606
335,Float On,Modest Mouse Alternative Float On,4.15310223
336,Jumper - 1998 Edit,Third Eye Blind Alternative Jumper - 1998 Edit,3.74403
337,COME THRU,Joji Alternative COME THRU,3.9095
338,Take Me Out,Franz Ferdinand Alternative Take Me Out,3.593422
339,Jeremy,Pearl Jam Alternative Jeremy,3.7472
340,Novacane,Frank Ocean Alternative Novacane,3.763203
341,Tia Tamera (feat. Rico Nasty),Doja Cat Alternative Tia Tamera (feat. Rico Nasty),4.0511
342,Porn Star Dancing,My Darkest Days Alternative Porn Star Dancing,3.9319
343,When I'm Gone,3 Doors Down Alternative When I'm Gone,3.4065700000000003
344,Gone Away,Five Finger Death Punch Alternative Gone Away,3.3445704999999997
345,It's Been Awhile,Staind Alternative It's Been Awhile,3.302638999999999
346,All My Life,Foo Fighters Alternative All My Life,4.671797
347,45,Shinedown Alternative 45,3.5144
