,book_title,text,numerical
314,raphael,d.b.reynolds paranormal fantasy raphael,1.616
315,"once bitten, twice shy","jenniferrardin fantasy paranormal once bitten, twice shy",1.3625
316,the passage,justincronin horror fiction the passage,1.6310000000000002
317,covenant with the vampire,jeannekalogridis horror paranormal covenant with the vampire,1.3665000000000003
318,the keep,f.paulwilson horror fiction the keep,1.559
319,already dead,charliehuston fantasy paranormal already dead,1.3810000000000002
320,midnight's daughter,karenchance fantasy paranormal midnight's daughter,1.581
321,nice girls don't have fangs,mollyharper paranormal fantasy nice girls don't have fangs,1.5285
322,full moon rising,keriarthur fantasy fantasy full moon rising,1.543
323,how to marry a millionaire vampire,kerrelynsparks paranormal fantasy how to marry a millionaire vampire,1.5574999999999999
324,anno dracula,kimnewman horror fantasy anno dracula,1.404
325,carpe jugulum,terrypratchett fantasy fiction carpe jugulum,1.754
326,a quick bite,lynsaysands paranormal romance a quick bite,1.5855000000000001
327,night watch,sergeilukyanenko fantasy fantasy night watch,1.569
328,pandora,annerice paranormal horror pandora,1.3445
329,necroscope,brianlumley horror paranormal necroscope,1.615
330,fevre dream,georger.r.martin fantasy horror fevre dream,1.6875
331,bloodsucking fiends,christophermoore humor fiction bloodsucking fiends,1.514
332,some girls bite,chloeneill fantasy paranormal some girls bite,1.638
333,undead and unwed,maryjanicedavidson paranormal romance undead and unwed,1.3445
334,the strain,guillermodeltoro horror sciencefiction the strain,1.319
335,darkfever,karenmariemoning fantasy fantasy darkfever,1.7965
336,lost souls,poppyz.brite horror paranormal lost souls,1.4589999999999999
337,dead witch walking,kimharrison fantasy fantasy dead witch walking,1.727
338,kiss of midnight,laraadrian romance fantasy kiss of midnight,1.627
339,moon called,patriciabriggs fantasy fantasy moon called,1.8415
340,sunshine,robinmckinley paranormal fantasy sunshine,1.4615
341,dead until dark,charlaineharris fantasy paranormal dead until dark,1.5165
342,let the right one in,johnajvidelindqvist horror fiction let the right one in,1.5825
343,the underneath,kathiappelt fantasy childrens the underneath,1.492
344,chains,lauriehalseanderson historical youngadult chains,1.631
345,the plague of doves,louiseerdrich fiction historical the plague of doves,1.3615
346,firefly lane,kristinhannah fiction womensfiction firefly lane,1.7635
347,"human smoke: the beginnings of world war ii, the end of civilization","nicholsonbaker history nonfiction human smoke: the beginnings of world war ii, the end of civilization",1.349
348,victory of eagles,naominovik fantasy fantasy victory of eagles,1.614
349,generation dead,danielwaters youngadult horror generation dead,1.1325
350,when will there be good news?,kateatkinson fiction mystery when will there be good news?,1.4485000000000001
351,the middle place,kellycorrigan autobiography nonfiction the middle place,1.4165
352,skeletons at the feast,chrisbohjalian historical fiction skeletons at the feast,1.452
353,a fraction of the whole,stevetoltz fiction cultural a fraction of the whole,1.6664999999999999
354,"such a pretty fat: one narcissist's quest to discover if her life makes her ass look big, or why pie is not the answer","jenlancaster nonfiction womensfiction such a pretty fat: one narcissist's quest to discover if her life makes her ass look big, or why pie is not the answer",1.5485
355,the red leather diary: reclaiming a life through the pages of a lost journal,lilykoppel nonfiction biography the red leather diary: reclaiming a life through the pages of a lost journal,0.7795
356,the broken window,jefferydeaver mystery thriller the broken window,1.6285000000000003
357,chasing harry winston,laurenweisberger womensfiction fiction chasing harry winston,0.9309999999999998
358,2666,robertobolaño fiction literature 2666,1.697
359,the lady elizabeth,alisonweir historical historical the lady elizabeth,1.5505
360,i was told there'd be cake,sloanecrosley nonfiction humor i was told there'd be cake,0.8925000000000001
361,snuff,chuckpalahniuk fiction contemporary snuff,0.9475
362,impossible,nancywerlin youngadult fantasy impossible,1.158
363,a mercy,tonimorrison fiction historical a mercy,1.292
364,the heretic's daughter,kathleenkent historical fiction the heretic's daughter,1.2774999999999999
365,a curse dark as gold,elizabethc.bunce fantasy youngadult a curse dark as gold,1.119
366,the miracle at speedy motors,alexandermccallsmith mystery fiction the miracle at speedy motors,1.562
367,hold tight,harlancoben mystery fiction hold tight,1.5310000000000001
368,certain girls,jenniferweiner womensfiction fiction certain girls,1.218
369,outliers: the story of success,malcolmgladwell nonfiction psychology outliers: the story of success,1.6504999999999999
370,rodrick rules,jeffkinney humor fiction rodrick rules,1.7224999999999997
371,american wife,curtissittenfeld fiction historical american wife,1.133
372,the likeness,tanafrench mystery fiction the likeness,1.5425000000000002
373,netherland,josepho'neill fiction newyork netherland,0.85
374,in defense of food: an eater's manifesto,michaelpollan nonfiction foodanddrink in defense of food: an eater's manifesto,1.6905000000000001
375,mudbound,hillaryjordan historical fiction mudbound,1.5445
376,small favor,jimbutcher fantasy fantasy small favor,2.0175
377,love the one you're with,emilygiffin womensfiction fiction love the one you're with,1.2615
378,the monsters of templeton,laurengroff fiction mystery the monsters of templeton,1.0925
379,the hour i first believed,wallylamb fiction historical the hour i first believed,1.4345
380,olive kitteridge,elizabethstrout fiction shortstories olive kitteridge,1.2705000000000002
381,grip of the shadow plague,brandonmull fantasy youngadult grip of the shadow plague,1.8845
382,belong to me,marisadelossantos contemporary fiction belong to me,1.3595
383,the pigeon wants a puppy!,mowillems childrens childrens the pigeon wants a puppy!,1.9820000000000002
384,dewey: the small-town library cat who touched the world,vickimyron nonfiction animals dewey: the small-town library cat who touched the world,1.4285
385,city of thieves,davidbenioff historical fiction city of thieves,1.9260000000000002
386,little brother,corydoctorow youngadult sciencefiction little brother,1.423
387,when you are engulfed in flames,davidsedaris humor nonfiction when you are engulfed in flames,1.6030000000000002
388,paper towns,johngreen youngadult contemporary paper towns,1.5175
389,people of the book,geraldinebrooks historical fiction people of the book,1.5495
390,the story of edgar sawtelle,davidwroblewski fiction animals the story of edgar sawtelle,1.0985
391,the battle of the labyrinth,rickriordan fantasy youngadult the battle of the labyrinth,2.0135
392,the last lecture,randypausch nonfiction autobiography the last lecture,1.8940000000000001
393,first comes love,katiekacvinsky romance youngadult first comes love,1.4235000000000002
394,the day before,lisaschroeder youngadult contemporary the day before,1.559
395,endless summer,jenniferechols youngadult romance endless summer,1.4875
396,ten tiny breaths,k.a.tucker newadult romance ten tiny breaths,1.771
397,what i didn't say,kearytaylor youngadult romance what i didn't say,1.5225
398,if i lie,corrinejackson youngadult contemporary if i lie,1.581
399,love unscripted,tinareber romance romance love unscripted,1.665
