,original_title,cast,director,keywords,genres,imdb_id,final_numeric_weights,text
5275,as good as it gets,jacknicholson helenhunt gregkinnear cubagoodingjr. skeetulrich,jamesl.brooks,singleparent waitress lonewolf friendship neighbor,comedy romance,tt0119822,0.63,jacknicholson helenhunt gregkinnear cubagoodingjr. skeetulrichjamesl.brookscomedy romancesingleparent waitress lonewolf friendship neighbor
5276,breakdown,kurtrussell j.t.walsh kathleenquinlan m.c.gainey jacknoseworthy,jonathanmostow,california bank ransom donut highway,drama action thriller,tt0118771,0.337,kurtrussell j.t.walsh kathleenquinlan m.c.gainey jacknoseworthyjonathanmostowdrama action thrillercalifornia bank ransom donut highway
5277,seven years in tibet,bradpitt jamyangjamtshowangchuk davidthewlis bdwong mako,jean-jacquesannaud,buddhism himalaya austria buddhistmonk worldwarii,history drama adventure war,tt0120102,0.519,bradpitt jamyangjamtshowangchuk davidthewlis bdwong makojean-jacquesannaudhistory drama adventure warbuddhism himalaya austria buddhistmonk worldwarii
5278,my best friend's wedding,juliaroberts dermotmulroney camerondiaz ruperteverett philipbosco,p.j.hogan,karaoke marriageproposal newlove loveofone'slife kiss,comedy romance,tt0119738,0.335,juliaroberts dermotmulroney camerondiaz ruperteverett philipboscop.j.hogancomedy romancekaraoke marriageproposal newlove loveofone'slife kiss
5279,boogie nights,markwahlberg burtreynolds johnc.reilly juliannemoore thomasjane,paulthomasanderson,pornography pornactor pornographicvideo fromragstoriches drug,drama,tt0118749,0.673,markwahlberg burtreynolds johnc.reilly juliannemoore thomasjanepaulthomasandersondramapornography pornactor pornographicvideo fromragstoriches drug
5280,lost highway,billpullman patriciaarquette johnroselius louiseppolito robertblake,davidlynch,schizophrenia prison pornography sadistic dualidentity,drama thriller mystery,tt0116922,0.66,billpullman patriciaarquette johnroselius louiseppolito robertblakedavidlynchdrama thriller mysteryschizophrenia prison pornography sadistic dualidentity
5283,dobermann,vincentcassel tchã©kykaryo monicabellucci antoinebasler affifbenbadra,jankounen,paris robbery bank burglar bankrobber,action crime,tt0118996,0.20500000000000002,vincentcassel tchã©kykaryo monicabellucci antoinebasler affifbenbadrajankounenaction crimeparis robbery bank burglar bankrobber
5285,bean,rowanatkinson petermacnicol johnmills pamelareed harrisyulin,melsmith,paris london california airport vault,comedy,tt0118689,0.324,rowanatkinson petermacnicol johnmills pamelareed harrisyulinmelsmithcomedyparis london california airport vault
5289,the edge,alecbaldwin anthonyhopkins ellemacpherson haroldperrineau l.q.jones,leetamahori,photographer grizzlybear wilderness airplane supermodel,adventure action drama thriller,tt0119051,0.34400000000000003,alecbaldwin anthonyhopkins ellemacpherson haroldperrineau l.q.jonesleetamahoriadventure action drama thrillerphotographer grizzlybear wilderness airplane supermodel
5290,kiss the girls,morganfreeman ashleyjudd caryelwes alexmcarthur tonygoldwyn,garyfleder,washingtond.c. coveredinvestigation investigation northcarolina missingperson,drama mystery thriller crime,tt0119468,0.173,morganfreeman ashleyjudd caryelwes alexmcarthur tonygoldwyngaryflederdrama mystery thriller crimewashingtond.c. coveredinvestigation investigation northcarolina missingperson
5291,absolute power,clinteastwood genehackman edharris scottglenn lauralinney,clinteastwood,corruption assassination washingtond.c. rape whitehouse,crime drama thriller,tt0118548,0.203,clinteastwood genehackman edharris scottglenn lauralinneyclinteastwoodcrime drama thrillercorruption assassination washingtond.c. rape whitehouse
5292,vegas vacation,chevychase beverlyd'angelo randyquaid ethanembry marisolnichols,stephenkessler,gambling chaos roulette familyholiday,comedy,tt0120434,0.16499999999999998,chevychase beverlyd'angelo randyquaid ethanembry marisolnicholsstephenkesslercomedygambling chaos roulette familyholiday
5293,u turn,seanpenn nicknolte jenniferlopez joaquinphoenix clairedanes,oliverstone,carbreakdown wilderness kiss gamblingdebts cargarage,thriller,tt0120399,0.365,seanpenn nicknolte jenniferlopez joaquinphoenix clairedanesoliverstonethrillercarbreakdown wilderness kiss gamblingdebts cargarage
5296,one eight seven,"samuell.jackson johnheard kellyrowan cliftoncollins,jr. tonyplana",kevinreynolds,newyork highschool teacher attack stabbing,drama thriller,tt0118531,0.281,"samuell.jackson johnheard kellyrowan cliftoncollins,jr. tonyplanakevinreynoldsdrama thrillernewyork highschool teacher attack stabbing"
5300,cube,nicoledeboer nickyguadagni davidhewlett andrewmiller julianrichings,vincenzonatali,riddle autism claustrophobia maze primenumber,thriller sciencefiction mystery,tt0123755,0.41000000000000003,nicoledeboer nickyguadagni davidhewlett andrewmiller julianrichingsvincenzonatalithriller sciencefiction mysteryriddle autism claustrophobia maze primenumber
5302,the postman,kevincostner willpatton oliviawilliams larenztate tompetty,kevincostner,usa post postman army apocalypse,drama adventure,tt0119925,0.13899999999999998,kevincostner willpatton oliviawilliams larenztate tompettykevincostnerdrama adventureusa post postman army apocalypse
5308,a life less ordinary,ewanmcgregor camerondiaz hollyhunter delroylindo danhedaya,dannyboyle,angel sex robbery basedonnovel karaoke,fantasy drama comedy thriller sciencefiction,tt0119535,0.23600000000000004,ewanmcgregor camerondiaz hollyhunter delroylindo danhedayadannyboylefantasy drama comedy thriller sciencefictionangel sex robbery basedonnovel karaoke
5310,deconstructing harry,woodyallen kirstiealley billycrystal judydavis carolineaaron,woodyallen,newyork writer'sblock insanity independentfilm author,comedy drama,tt0118954,0.49000000000000005,woodyallen kirstiealley billycrystal judydavis carolineaaronwoodyallencomedy dramanewyork writer'sblock insanity independentfilm author
5311,geri's game,bobpeterson,janpinkava,chess eyeglasses pixaranimatedshort computeranimation park,animation family,tt0131409,0.865,bobpetersonjanpinkavaanimation familychess eyeglasses pixaranimatedshort computeranimation park
5317,mousehunt,nathanlane leeevans vickilewis maurychaykin ericchristmas,goreverbinski,brotherbrotherrelationship lossoffather mouse house inheritance,comedy family,tt0119715,0.184,nathanlane leeevans vickilewis maurychaykin ericchristmasgoreverbinskicomedy familybrotherbrotherrelationship lossoffather mouse house inheritance
5322,cop land,sylvesterstallone harveykeitel rayliotta robertdeniro peterberg,jamesmangold,corruption handcuffs fbi badcop,action crime drama,tt0118887,0.331,sylvesterstallone harveykeitel rayliotta robertdeniro peterbergjamesmangoldaction crime dramacorruption handcuffs fbi badcop
5324,selena,jenniferlopez edwardjamesolmos constancemarie jonseda lupeontiveros,gregorynava,musical tejano elopement bustier fanclub,documentary drama,tt0120094,0.5,jenniferlopez edwardjamesolmos constancemarie jonseda lupeontiverosgregorynavadocumentary dramamusical tejano elopement bustier fanclub
5326,the ice storm,kevinkline joanallen sigourneyweaver henryczerny tobeymaguire,anglee,basedonnovel 1970s thanksgiving dysfunctionalfamily independentfilm,drama,tt0119349,0.23400000000000004,kevinkline joanallen sigourneyweaver henryczerny tobeymaguireangleedramabasedonnovel 1970s thanksgiving dysfunctionalfamily independentfilm
5331,nothing to lose,timrobbins martinlawrence johnc.mcginley kellypreston irmap.hall,steveoedekerk,infidelity securitycamera loss crook sociopath,action adventure comedy,tt0119807,0.14400000000000002,timrobbins martinlawrence johnc.mcginley kellypreston irmap.hallsteveoedekerkaction adventure comedyinfidelity securitycamera loss crook sociopath
5348,the man who knew too little,billmurray petergallagher joannewhalley alfredmolina richardwilson,jonamiel,london bomb brotherbrotherrelationship helicopter basedonnovel,comedy thriller crime action,tt0120483,0.31600000000000006,billmurray petergallagher joannewhalley alfredmolina richardwilsonjonamielcomedy thriller crime actionlondon bomb brotherbrotherrelationship helicopter basedonnovel
5380,midnight in the garden of good and evil,johncusack kevinspacey judelaw alisoneastwood jackthompson,clinteastwood,dragqueen voodoo savannah,crime drama mystery thriller,tt0119668,0.269,johncusack kevinspacey judelaw alisoneastwood jackthompsonclinteastwoodcrime drama mystery thrillerdragqueen voodoo savannah
5387,amistad,morganfreeman nigelhawthorne anthonyhopkins djimonhounsou matthewmcconaughey,stevenspielberg,cuba mutiny slavery sentence historicalfigure,drama history mystery,tt0118607,0.368,morganfreeman nigelhawthorne anthonyhopkins djimonhounsou matthewmcconaugheystevenspielbergdrama history mysterycuba mutiny slavery sentence historicalfigure
5391,the lost world: jurassic park,jeffgoldblum juliannemoore petepostlethwaite richardattenborough vincevaughn,stevenspielberg,exoticisland dna paleontology tyrannosaurusrex velociraptor,adventure action sciencefiction,tt0119567,0.199,jeffgoldblum juliannemoore petepostlethwaite richardattenborough vincevaughnstevenspielbergadventure action sciencefictionexoticisland dna paleontology tyrannosaurusrex velociraptor
5401,gummo,jacobsewell darbydougherty chloã«sevigny jameslawhorn lindamanz,harmonykorine,independentfilm,drama,tt0119237,0.356,jacobsewell darbydougherty chloã«sevigny jameslawhorn lindamanzharmonykorinedramaindependentfilm
5402,la vã©ritã© si je mens !,richardanconina vincentelbaz richardbohringer josã©garcia amiracasar,thomasgilou,nan,comedy,tt0120471,0.279,richardanconina vincentelbaz richardbohringer josã©garcia amiracasarthomasgiloucomedynan
5422,frozen,kristenbell idinamenzel jonathangroff joshgad santinofontana,chrisbuck jenniferlee,queen musical princess betrayal snowman,animation adventure family,tt2294629,1.288,kristenbell idinamenzel jonathangroff joshgad santinofontanachrisbuck jenniferleeanimation adventure familyqueen musical princess betrayal snowman
5423,gravity,sandrabullock georgeclooney edharris ortoignatiussen phaldutsharma,alfonsocuarã³n,spacemission space astronaut trappedinspace 3d,sciencefiction thriller drama,tt1454468,1.048,sandrabullock georgeclooney edharris ortoignatiussen phaldutsharmaalfonsocuarã³nsciencefiction thriller dramaspacemission space astronaut trappedinspace 3d
5424,thor: the dark world,chrishemsworth natalieportman tomhiddleston anthonyhopkins christophereccleston,alantaylor,marvelcomic comic superhero hostiletakeover norsemythology,action adventure fantasy,tt1981115,0.692,chrishemsworth natalieportman tomhiddleston anthonyhopkins christopherecclestonalantayloraction adventure fantasymarvelcomic comic superhero hostiletakeover norsemythology
5425,iron man 3,robertdowneyjr. gwynethpaltrow guypearce doncheadle benkingsley,shaneblack,terrorist waronterror tennessee malibu marvelcomic,action adventure sciencefiction,tt1300854,0.9660000000000001,robertdowneyjr. gwynethpaltrow guypearce doncheadle benkingsleyshaneblackaction adventure sciencefictionterrorist waronterror tennessee malibu marvelcomic
5426,now you see me,jesseeisenberg markruffalo woodyharrelson mã©lanielaurent islafisher,louisleterrier,paris bank secret fbi vault,thriller crime,tt1670345,0.804,jesseeisenberg markruffalo woodyharrelson mã©lanielaurent islafisherlouisleterrierthriller crimeparis bank secret fbi vault
5427,the hunger games: catching fire,jenniferlawrence joshhutcherson liamhemsworth woodyharrelson elizabethbanks,francislawrence,basedonnovel mentor secret factory television,sciencefiction thriller action adventure,tt1951264,1.073,jenniferlawrence joshhutcherson liamhemsworth woodyharrelson elizabethbanksfrancislawrencesciencefiction thriller action adventurebasedonnovel mentor secret factory television
5428,the wolf of wall street,leonardodicaprio jonahhill margotrobbie kylechandler robreiner,martinscorsese,corruption sex sexuality bank humor,crime drama comedy,tt0993846,1.137,leonardodicaprio jonahhill margotrobbie kylechandler robreinermartinscorsesecrime drama comedycorruption sex sexuality bank humor
5429,pacific rim,idriselba charliehunnam charlieday ronperlman burngorman,guillermodeltoro,dystopia giantrobot giantmonster apocalypse imax,action sciencefiction adventure,tt1663662,0.61,idriselba charliehunnam charlieday ronperlman burngormanguillermodeltoroaction sciencefiction adventuredystopia giantrobot giantmonster apocalypse imax
5430,oblivion,tomcruise morganfreeman olgakurylenko andreariseborough nikolajcoster-waldau,josephkosinski,spacecraft dystopia space drone imax,action sciencefiction adventure mystery,tt1483013,0.41300000000000003,tomcruise morganfreeman olgakurylenko andreariseborough nikolajcoster-waldaujosephkosinskiaction sciencefiction adventure mysteryspacecraft dystopia space drone imax
5431,the hobbit: the desolation of smaug,martinfreeman ianmckellen richardarmitage kenstott grahammctavish,peterjackson,elves dwarves orcs middle-earth(tolkien) hobbits,adventure fantasy,tt1170358,1.135,martinfreeman ianmckellen richardarmitage kenstott grahammctavishpeterjacksonadventure fantasyelves dwarves orcs middle-earth(tolkien) hobbits
5432,man of steel,henrycavill amyadams michaelshannon dianelane russellcrowe,zacksnyder,savingtheworld dccomics superhero basedoncomicbook superhuman,action adventure fantasy sciencefiction,tt0770828,0.575,henrycavill amyadams michaelshannon dianelane russellcrowezacksnyderaction adventure fantasy sciencefictionsavingtheworld dccomics superhero basedoncomicbook superhuman
5433,her,joaquinphoenix scarlettjohansson rooneymara amyadams oliviawilde,spikejonze,artificialintelligence computer loneliness,romance sciencefiction drama,tt1798709,0.976,joaquinphoenix scarlettjohansson rooneymara amyadams oliviawildespikejonzeromance sciencefiction dramaartificialintelligence computer loneliness
5434,despicable me 2,stevecarell kristenwiig benjaminbratt mirandacosgrove russellbrand,pierrecoffin chrisrenaud,secretagent bakery fallinginlove fatherdaughterrelationship duringcreditsstinger,animation comedy family,tt1690953,0.9359999999999999,stevecarell kristenwiig benjaminbratt mirandacosgrove russellbrandpierrecoffin chrisrenaudanimation comedy familysecretagent bakery fallinginlove fatherdaughterrelationship duringcreditsstinger
5435,star trek into darkness,chrispine zacharyquinto zoesaldana karlurban simonpegg,j.j.abrams,spacecraft friendship sequel futuristic space,action adventure sciencefiction,tt1408101,0.894,chrispine zacharyquinto zoesaldana karlurban simonpeggj.j.abramsaction adventure sciencefictionspacecraft friendship sequel futuristic space
5436,12 years a slave,chiwetelejiofor michaelfassbender lupitanyong'o benedictcumberbatch pauldano,stevemcqueen,whip slavery plantation nightshift kidnapping,drama history,tt2024544,1.056,chiwetelejiofor michaelfassbender lupitanyong'o benedictcumberbatch pauldanostevemcqueendrama historywhip slavery plantation nightshift kidnapping
5437,riddick,vindiesel karlurban kateesackhoff jordimollã  bokeemwoodbine,davidtwohy,dystopia revenge alien planet imax,sciencefiction action thriller,tt1411250,0.309,vindiesel karlurban kateesackhoff jordimollã  bokeemwoodbinedavidtwohysciencefiction action thrillerdystopia revenge alien planet imax
5438,the conjuring,patrickwilson verafarmiga ronlivingston lilitaylor joeyking,jameswan,sistersisterrelationship exorcism rhodeisland basedontruestory farmhouse,horror thriller,tt1457767,0.89,patrickwilson verafarmiga ronlivingston lilitaylor joeykingjameswanhorror thrillersistersisterrelationship exorcism rhodeisland basedontruestory farmhouse
5439,the great gatsby,leonardodicaprio tobeymaguire careymulligan joeledgerton elizabethdebicki,bazluhrmann,basedonnovel infidelity obsession hope 3d,drama romance,tt1343092,0.778,leonardodicaprio tobeymaguire careymulligan joeledgerton elizabethdebickibazluhrmanndrama romancebasedonnovel infidelity obsession hope 3d
5440,nymphomaniac: vol. ii,charlottegainsbourg stellanskarsgã¥rd shialabeouf willemdafoe stacymartin,larsvontrier,sex bondage whip nudity masochism,drama mystery,tt2382009,0.43999999999999995,charlottegainsbourg stellanskarsgã¥rd shialabeouf willemdafoe stacymartinlarsvontrierdrama mysterysex bondage whip nudity masochism
5441,elysium,mattdamon jodiefoster sharltocopley alicebraga diegoluna,neillblomkamp,dystopia spacestation classconflict,sciencefiction action drama thriller,tt1535108,0.45399999999999996,mattdamon jodiefoster sharltocopley alicebraga diegolunaneillblomkampsciencefiction action drama thrillerdystopia spacestation classconflict
5444,monsters university,billycrystal johngoodman stevebuscemi helenmirren joelmurray,danscanlon,monster dormitory games prequel animation,animation family,tt1453405,0.779,billycrystal johngoodman stevebuscemi helenmirren joelmurraydanscanlonanimation familymonster dormitory games prequel animation
5445,world war z,bradpitt mireilleenos abigailhargrove sterlingjerins jamesbadgedale,marcforster,dystopia apocalypse zombies nuclearweapons flesheatingzombies,action drama horror sciencefiction thriller,tt0816711,0.581,bradpitt mireilleenos abigailhargrove sterlingjerins jamesbadgedalemarcforsteraction drama horror sciencefiction thrillerdystopia apocalypse zombies nuclearweapons flesheatingzombies
5446,the secret life of walter mitty,benstiller kristenwiig pattonoswalt shirleymaclaine adamscott,benstiller,photographer magazine iceland daydream photograph,adventure comedy drama fantasy,tt0359950,0.624,benstiller kristenwiig pattonoswalt shirleymaclaine adamscottbenstilleradventure comedy drama fantasyphotographer magazine iceland daydream photograph
5447,ender's game,asabutterfield harrisonford haileesteinfeld abigailbreslin benkingsley,gavinhood,basedonnovel intolerance chosenone childprodigy futuristic,sciencefiction action adventure,tt1731141,0.428,asabutterfield harrisonford haileesteinfeld abigailbreslin benkingsleygavinhoodsciencefiction action adventurebasedonnovel intolerance chosenone childprodigy futuristic
5448,we're the millers,jasonsudeikis jenniferaniston willpoulter emmaroberts edhelms,rawsonmarshallthurber,mexico police gang drugsmuggling drug,comedy crime,tt1723121,0.626,jasonsudeikis jenniferaniston willpoulter emmaroberts edhelmsrawsonmarshallthurbercomedy crimemexico police gang drugsmuggling drug
5449,2 guns,denzelwashington markwahlberg paulapatton billpaxton fredward,baltasarkormã¡kur,undercover undercoveragent basedoncomicbook numberintitle money,action crime drama comedy thriller,tt1272878,0.439,denzelwashington markwahlberg paulapatton billpaxton fredwardbaltasarkormã¡kuraction crime drama comedy thrillerundercover undercoveragent basedoncomicbook numberintitle money
5450,about time,rachelmcadams billnighy domhnallgleeson tomhollander margotrobbie,richardcurtis,london father-sonrelationship timetravel,comedy drama sciencefiction,tt2194499,0.903,rachelmcadams billnighy domhnallgleeson tomhollander margotrobbierichardcurtiscomedy drama sciencefictionlondon father-sonrelationship timetravel
5451,rush,danielbrã¼hl chrishemsworth oliviawilde alexandramarialara nataliedormer,ronhoward,worldchampion sport racingcar formula1 automobileracing,drama action,tt1979320,0.889,danielbrã¼hl chrishemsworth oliviawilde alexandramarialara nataliedormerronhowarddrama actionworldchampion sport racingcar formula1 automobileracing
5453,inside llewyn davis,oscarisaac careymulligan justintimberlake jerrygrayson robinbartlett,joelcoen ethancoen,folkmusic performance aspiringsinger newyorkcity recording,drama music,tt2042568,0.627,oscarisaac careymulligan justintimberlake jerrygrayson robinbartlettjoelcoen ethancoendrama musicfolkmusic performance aspiringsinger newyorkcity recording
5454,olympus has fallen,gerardbutler aaroneckhart angelabassett morganfreeman radhamitchell,antoinefuqua,whitehouse secretservice terroristattack,action thriller,tt2302755,0.276,gerardbutler aaroneckhart angelabassett morganfreeman radhamitchellantoinefuquaaction thrillerwhitehouse secretservice terroristattack
5456,prisoners,hughjackman jakegyllenhaal pauldano mariabello melissaleo,denisvilleneuve,pennsylvania maze vigilante kidnapping ruralsetting,drama thriller crime,tt1392214,0.9359999999999999,hughjackman jakegyllenhaal pauldano mariabello melissaleodenisvilleneuvedrama thriller crimepennsylvania maze vigilante kidnapping ruralsetting
5457,the world's end,simonpegg nickfrost martinfreeman eddiemarsan paddyconsidine,edgarwright,endoftheworld apocalypse trilogy homage,comedy action sciencefiction,tt1213663,0.40199999999999997,simonpegg nickfrost martinfreeman eddiemarsan paddyconsidineedgarwrightcomedy action sciencefictionendoftheworld apocalypse trilogy homage
5458,american hustle,christianbale bradleycooper amyadams jeremyrenner jenniferlawrence,davido.russell,conartist mobster writtenbydirector,drama crime,tt1800241,0.5640000000000001,christianbale bradleycooper amyadams jeremyrenner jenniferlawrencedavido.russelldrama crimeconartist mobster writtenbydirector
5459,warm bodies,nicholashoult teresapalmer analeightipton robcorddry davefranco,jonathanlevine,post-apocalyptic dystopia zombies zombieapocalypse interspeciesromance,horror comedy romance,tt1588173,0.35400000000000004,nicholashoult teresapalmer analeightipton robcorddry davefrancojonathanlevinehorror comedy romancepost-apocalyptic dystopia zombies zombieapocalypse interspeciesromance
5463,"batman: the dark knight returns, part 2",peterweller arielwinter davidselby michaelemerson markvalley,jayoliva,future joker robin basedongraphicnovel dystopicfuture,animation action,tt2166834,0.905,peterweller arielwinter davidselby michaelemerson markvalleyjayolivaanimation actionfuture joker robin basedongraphicnovel dystopicfuture
5464,the mortal instruments: city of bones,lilycollins jamiecampbellbower kevinzegers jemimawest robertsheehan,haraldzwart,angel vampire werewolf warlock downworlder,action adventure drama mystery romance,tt1538403,0.249,lilycollins jamiecampbellbower kevinzegers jemimawest robertsheehanharaldzwartaction adventure drama mystery romanceangel vampire werewolf warlock downworlder
5465,epic,joshhutcherson amandaseyfried colinfarrell jasonsudeikis azizansari,chriswedge,fantasy miniaturepeople,animation adventure family fantasy,tt0848537,0.379,joshhutcherson amandaseyfried colinfarrell jasonsudeikis azizansarichriswedgeanimation adventure family fantasyfantasy miniaturepeople
5466,lone survivor,markwahlberg taylorkitsch emilehirsch benfoster yousufazami,peterberg,war survival navyseal military dangerousmission,action drama thriller war,tt1091191,0.7740000000000001,markwahlberg taylorkitsch emilehirsch benfoster yousufazamipeterbergaction drama thriller warwar survival navyseal military dangerousmission
5467,nymphomaniac: vol. i,charlottegainsbourg stellanskarsgã¥rd stacymartin shialabeouf christianslater,larsvontrier,sex flyfishing virgin nudity uniform,drama,tt1937390,0.448,charlottegainsbourg stellanskarsgã¥rd stacymartin shialabeouf christianslaterlarsvontrierdramasex flyfishing virgin nudity uniform
5468,dallas buyers club,matthewmcconaughey jennifergarner jaredleto deniso'hare stevezahn,jean-marcvallã©e,women aids biography basedontruestory hiv,drama history,tt0790636,0.919,matthewmcconaughey jennifergarner jaredleto deniso'hare stevezahnjean-marcvallã©edrama historywomen aids biography basedontruestory hiv
5470,red 2,brucewillis catherinezeta-jones anthonyhopkins helenmirren johnmalkovich,deanparisot,paris london cia russia mi6,action comedy crime thriller,tt1821694,0.246,brucewillis catherinezeta-jones anthonyhopkins helenmirren johnmalkovichdeanparisotaction comedy crime thrillerparis london cia russia mi6
5474,the call,halleberry abigailbreslin morrischestnut michaelimperioli ellaraepeck,bradanderson,underground gasstation murder suspense kidnapping,thriller,tt1911644,0.414,halleberry abigailbreslin morrischestnut michaelimperioli ellaraepeckbradandersonthrillerunderground gasstation murder suspense kidnapping
5475,evil dead,janelevy jessicalucas shilohfernandez loutaylorpucci elizabethblackmore,fedealvarez,demon necronomicon duringcreditsstinger,horror,tt1288558,0.296,janelevy jessicalucas shilohfernandez loutaylorpucci elizabethblackmorefedealvarezhorrordemon necronomicon duringcreditsstinger
5476,last vegas,robertdeniro morganfreeman michaeldouglas kevinkline marysteenburgen,jonturteltaub,casino marriageproposal funeral stagnight lasvegasnevada,comedy,tt1204975,0.346,robertdeniro morganfreeman michaeldouglas kevinkline marysteenburgenjonturteltaubcomedycasino marriageproposal funeral stagnight lasvegasnevada
5477,the family,robertdeniro michellepfeiffer diannaagron johnd'leo tommyleejones,lucbesson,france witnessprotection mafia mafiafamily,crime comedy action,tt2404311,0.187,robertdeniro michellepfeiffer diannaagron johnd'leo tommyleejoneslucbessoncrime comedy actionfrance witnessprotection mafia mafiafamily
5478,insidious: chapter 2,patrickwilson rosebyrne tysimpkins linshaye barbarahershey,jameswan,hauntedhouse possession demon family ghost,horror thriller,tt2226417,0.35000000000000003,patrickwilson rosebyrne tysimpkins linshaye barbarahersheyjameswanhorror thrillerhauntedhouse possession demon family ghost
5479,the book thief,rogerallam sophienã©lisse heikemakatsch gotthardlange rainerreiners,brianpercival,worldwarii book nazigermany jewish,drama,tt0816442,0.7110000000000001,rogerallam sophienã©lisse heikemakatsch gotthardlange rainerreinersbrianpercivaldramaworldwarii book nazigermany jewish
5480,the place beyond the pines,ryangosling bradleycooper evamendes danedehaan emorycohen,derekcianfrance,father-sonrelationship carnival motorcycle bankrobbery,drama crime,tt1817273,0.441,ryangosling bradleycooper evamendes danedehaan emorycohenderekcianfrancedrama crimefather-sonrelationship carnival motorcycle bankrobbery
5483,the croods,nicolascage emmastone ryanreynolds catherinekeener clorisleachman,kirkdemicco chrissanders,stoneage daughter father prehistoric ancientworld,adventure animation comedy family fantasy,tt0481499,0.627,nicolascage emmastone ryanreynolds catherinekeener clorisleachmankirkdemicco chrissandersadventure animation comedy family fantasystoneage daughter father prehistoric ancientworld
5484,homefront,jasonstatham jamesfranco izabelavidovic winonaryder rachellelefevre,garyfleder,basedonnovel drugdealer ex-cop ruralsetting undercovercop,action thriller,tt2312718,0.315,jasonstatham jamesfranco izabelavidovic winonaryder rachellelefevregaryflederaction thrillerbasedonnovel drugdealer ex-cop ruralsetting undercovercop
5485,escape plan,sylvesterstallone arnoldschwarzenegger jimcaviezel vinniejones 50cent,mikaelhã¥fstrã¶m,prison muslim ship mystery sciencefiction,action thriller,tt1211956,0.458,sylvesterstallone arnoldschwarzenegger jimcaviezel vinniejones 50centmikaelhã¥fstrã¶maction thrillerprison muslim ship mystery sciencefiction
5487,captain phillips,tomhanks catherinekeener maxmartini chrismulkey yulvazquez,paulgreengrass,ship hijacking somalia fisherman blood,action drama thriller,tt1535109,0.8630000000000001,tomhanks catherinekeener maxmartini chrismulkey yulvazquezpaulgreengrassaction drama thrillership hijacking somalia fisherman blood
5489,white house down,channingtatum jamiefoxx joeyking maggiegyllenhaal richardjenkins,rolandemmerich,u.s.president conspiracy secretservice thewhitehouse,action drama thriller,tt2334879,0.326,channingtatum jamiefoxx joeyking maggiegyllenhaal richardjenkinsrolandemmerichaction drama thrilleru.s.president conspiracy secretservice thewhitehouse
5490,begin again,markruffalo keiraknightley adamlevine haileesteinfeld catherinekeener,johncarney,nan,comedy music romance drama,tt1980929,0.658,markruffalo keiraknightley adamlevine haileesteinfeld catherinekeenerjohncarneycomedy music romance dramanan
5493,short term 12,brielarson johngallagherjr. kaitlyndever ramimalek keithstanfield,destincretton,childabuse suicideattempt socialworker basedonshortfilm pregnancy,drama,tt2370248,0.888,brielarson johngallagherjr. kaitlyndever ramimalek keithstanfielddestincrettondramachildabuse suicideattempt socialworker basedonshortfilm pregnancy
5497,what if,danielradcliffe zoekazan rafespall meganpark adamdriver,michaeldowse,malefemalerelationship bestfriend fallinginlove,drama comedy romance,tt1486834,0.429,danielradcliffe zoekazan rafespall meganpark adamdrivermichaeldowsedrama comedy romancemalefemalerelationship bestfriend fallinginlove
5498,delivery man,vincevaughn cobiesmulders chrispratt brittrobertson jackreynor,kenscott,remake spermdonor,comedy,tt2387559,0.188,vincevaughn cobiesmulders chrispratt brittrobertson jackreynorkenscottcomedyremake spermdonor
5499,this is the end,jamesfranco jonahhill sethrogen jaybaruchel dannymcbride,sethrogen evangoldberg,rape monster panic friendship celebrity,action comedy,tt1245492,0.253,jamesfranco jonahhill sethrogen jaybaruchel dannymcbridesethrogen evangoldbergaction comedyrape monster panic friendship celebrity
5500,jackass presents: bad grandpa,johnnyknoxville jacksonnicoll georginacates spikejonze catherinekeener,jefftremaine,duringcreditsstinger,comedy,tt3063516,0.225,johnnyknoxville jacksonnicoll georginacates spikejonze catherinekeenerjefftremainecomedyduringcreditsstinger
5503,only lovers left alive,tomhiddleston tildaswinton miawasikowska johnhurt antonyelchin,jimjarmusch,vampire night musician love blood,drama romance,tt1714915,0.6350000000000001,tomhiddleston tildaswinton miawasikowska johnhurt antonyelchinjimjarmuschdrama romancevampire night musician love blood
5504,the heat,sandrabullock melissamccarthy demiã¡nbichir michaelrapaport tarankillam,paulfeig,boston fbi buddycomedy,action comedy crime,tt2404463,0.426,sandrabullock melissamccarthy demiã¡nbichir michaelrapaport tarankillampaulfeigaction comedy crimeboston fbi buddycomedy
5505,saving mr. banks,emmathompson tomhanks paulgiamatti colinfarrell ruthwilson,johnleehancock,biography animation writer moviemaking,comedy drama history,tt2140373,0.7040000000000001,emmathompson tomhanks paulgiamatti colinfarrell ruthwilsonjohnleehancockcomedy drama historybiography animation writer moviemaking
5506,kick-ass 2,aarontaylor-johnson chloã«gracemoretz christophermintz-plasse clarkduke jimcarrey,jeffwadlow,crimefighter secretidentity marvelcomic superhero aftercreditsstinger,action adventure crime,tt1650554,0.261,aarontaylor-johnson chloã«gracemoretz christophermintz-plasse clarkduke jimcarreyjeffwadlowaction adventure crimecrimefighter secretidentity marvelcomic superhero aftercreditsstinger
5507,oculus,kateesackhoff karengillan brentonthwaites jameslafferty rorycochrane,mikeflanagan,hallucination supernatural mirror skepticism ghost,horror,tt2388715,0.232,kateesackhoff karengillan brentonthwaites jameslafferty rorycochranemikeflanaganhorrorhallucination supernatural mirror skepticism ghost
