,original_title,cast,director,keywords,genres,imdb_id,final_numeric_weights,text
8674,the patriot,melgibson heathledger joelyrichardson jasonisaacs tchã©kykaryo,rolandemmerich,rebel southernu.s. lossofson martialarts general,drama history war action,tt0187393,0.472,melgibson heathledger joelyrichardson jasonisaacs tchã©kykaryorolandemmerichdrama history war actionrebel southernu.s. lossofson martialarts general
8675,final destination,devonsawa alilarter kerrsmith tonytodd seannwilliamscott,jameswong,nan,horror,tt0195714,0.231,devonsawa alilarter kerrsmith tonytodd seannwilliamscottjameswonghorrornan
8678,u-571,matthewmcconaughey billpaxton harveykeitel jonbonjovi davidkeith,jonathanmostow,submarine worldwarii northatlantic mission,action drama thriller war,tt0141926,0.199,matthewmcconaughey billpaxton harveykeitel jonbonjovi davidkeithjonathanmostowaction drama thriller warsubmarine worldwarii northatlantic mission
8679,billy elliot,jamiebell juliewalters jeanheywood jamiedraven garylewis,stephendaldry,workers'quarter dancingclass strike northernengland scholarship,drama comedy music,tt0249462,0.629,jamiebell juliewalters jeanheywood jamiedraven garylewisstephendaldrydrama comedy musicworkers'quarter dancingclass strike northernengland scholarship
8681,erin brockovich,juliaroberts albertfinney aaroneckhart marghelgenberger cherryjones,stevensoderbergh,biography basedontruestory singlemother waterpollution environmentallaw,drama,tt0195685,0.5790000000000001,juliaroberts albertfinney aaroneckhart marghelgenberger cherryjonesstevensoderberghdramabiography basedontruestory singlemother waterpollution environmentallaw
8682,meet the parents,benstiller robertdeniro teripolo blythedanner owenwilson,jayroach,cia airport cat jew orderly,comedy romance,tt0212338,0.437,benstiller robertdeniro teripolo blythedanner owenwilsonjayroachcomedy romancecia airport cat jew orderly
8683,"o brother, where art thou?",georgeclooney johnturturro timblakenelson johngoodman hollyhunter,joelcoen,prophecy southernu.s. musicrecord countrymusic mississippi,action adventure comedy,tt0190590,0.648,georgeclooney johnturturro timblakenelson johngoodman hollyhunterjoelcoenaction adventure comedyprophecy southernu.s. musicrecord countrymusic mississippi
8684,pitch black,vindiesel radhamitchell colehauser rhianagriffith lewisfitz-gerald,davidtwohy,darkness dystopia comet alienlife-form survival,thriller sciencefiction action,tt0134847,0.393,vindiesel radhamitchell colehauser rhianagriffith lewisfitz-geralddavidtwohythriller sciencefiction actiondarkness dystopia comet alienlife-form survival
8685,boiler room,giovanniribisi vindiesel nialong tomeverettscott benaffleck,benyounger,finances stockbroker investmentfirm,crime drama thriller,tt0181984,0.34099999999999997,giovanniribisi vindiesel nialong tomeverettscott benaffleckbenyoungercrime drama thrillerfinances stockbroker investmentfirm
8686,the road to el dorado,kennethbranagh kevinkline rosieperez armandassante edwardjamesolmos,donmichaelpaul bibobergeron,gold horse swordfight,adventure animation comedy family,tt0138749,0.45899999999999996,kennethbranagh kevinkline rosieperez armandassante edwardjamesolmosdonmichaelpaul bibobergeronadventure animation comedy familygold horse swordfight
8687,miss congeniality,sandrabullock benjaminbratt michaelcaine candicebergen williamshatner,donaldpetrie,undercoveragent beautycontest terrorism,comedy crime action,tt0212346,0.229,sandrabullock benjaminbratt michaelcaine candicebergen williamshatnerdonaldpetriecomedy crime actionundercoveragent beautycontest terrorism
8688,frequency,dennisquaid jimcaviezel andrebraugher elizabethmitchell noahemmerich,gregoryhoblit,newyork mother detective baseball radio,crime drama sciencefiction thriller,tt0186151,0.476,dennisquaid jimcaviezel andrebraugher elizabethmitchell noahemmerichgregoryhoblitcrime drama sciencefiction thrillernewyork mother detective baseball radio
8689,requiem for a dream,ellenburstyn jaredleto jenniferconnelly marlonwayans christophermcdonald,darrenaronofsky,drugaddiction junkie heroin speed diet,drama,tt0180093,0.8400000000000001,ellenburstyn jaredleto jenniferconnelly marlonwayans christophermcdonalddarrenaronofskydramadrugaddiction junkie heroin speed diet
8690,pay it forward,kevinspacey helenhunt haleyjoelosment jaymohr jimcaviezel,mimileder,child'spointofview gooddeed exoticdancer schoolteacher extracreditassignment,drama romance,tt0223897,0.469,kevinspacey helenhunt haleyjoelosment jaymohr jimcaviezelmimilederdrama romancechild'spointofview gooddeed exoticdancer schoolteacher extracreditassignment
8691,joseph: king of dreams,benaffleck markhamill richardherd maureenmcgovern jodibenson,robladuca robertc.ramirez,bible faith,family animation,tt0264734,0.29600000000000004,benaffleck markhamill richardherd maureenmcgovern jodibensonrobladuca robertc.ramirezfamily animationbible faith
8694,american psycho,christianbale willemdafoe jaredleto joshlucas samanthamathis,maryharron,basedonnovel underwear wallstreet psychopath ronaldreagan,thriller drama crime,tt0144084,0.596,christianbale willemdafoe jaredleto joshlucas samanthamathismaryharronthriller drama crimebasedonnovel underwear wallstreet psychopath ronaldreagan
8695,dancer in the dark,bjã¶rk catherinedeneuve davidmorse peterstormare joelgrey,larsvontrier,individual dancing usa robbery factoryworker,drama crime music,tt0168629,0.7210000000000001,bjã¶rk catherinedeneuve davidmorse peterstormare joelgreylarsvontrierdrama crime musicindividual dancing usa robbery factoryworker
8697,remember the titans,denzelwashington willpatton ryanhurst woodharris haydenpanettiere,boazyakin,kukluxklan americanfootball trainer sportsteam racepolitics,drama,tt0210945,0.705,denzelwashington willpatton ryanhurst woodharris haydenpanettiereboazyakindramakukluxklan americanfootball trainer sportsteam racepolitics
8698,the gift,cateblanchett giovanniribisi keanureeves katieholmes gregkinnear,samraimi,fortuneteller dream pond extrasensoryperception,horror drama thriller mystery,tt0219699,0.212,cateblanchett giovanniribisi keanureeves katieholmes gregkinnearsamraimihorror drama thriller mysteryfortuneteller dream pond extrasensoryperception
